DEPTH,GR,RHOB,VP,VS
840.71525,88.0872,2.4839,2.902132899,1.287412753
840.879292,86.0738,2.4839,2.962746862,1.309867411
841.043334,85.2936,2.4839,3.010177028,1.333119852
841.207376,84.7148,2.4958,3.010177028,1.35721215
841.371418,84.0604,2.5099,2.98302952,1.382191273
841.53546,82.047,2.5203,2.929250996,1.415089695
841.699502,82.3364,2.5127,2.877379906,1.38262452
841.863544,82.6258,2.5067,2.827313915,1.340875864
842.027586,82.9153,2.4995,2.778957875,1.301573975
842.191628,84.6644,2.4897,2.732230553,1.272776734
842.35567,87.7517,2.4776,2.702728978,1.175622005
842.519712,90.8389,2.4655,2.697908503,1.143902789
842.683754,93.9262,2.4578,2.694347882,1.155737491
842.847796,97.0134,2.437,2.690799023,1.167819187
843.011838,99.1611,2.446,2.6872595,1.180156604
843.17588,97.1477,2.4601,2.683729277,1.192757482
843.339922,96.0403,2.4734,2.680208316,1.20563035
843.503964,95.1342,2.4682,2.677865353,1.214367749
843.668006,96.0906,2.461,2.668536658,1.184327209
843.832048,97.2483,2.4526,2.66158326,1.16275473
843.99609,98.1544,2.4526,2.653455022,1.138380841
844.160132,95.3356,2.4526,2.672537747,1.152789597
844.324174,92.1141,2.4526,2.696054281,1.1707609
844.488216,91.7617,2.4526,2.719988348,1.189301864
844.652258,91.1829,2.4526,2.744348697,1.208439053
844.8163,90.604,2.4526,2.76915185,1.243771411
844.980342,90.1007,2.4656,2.748964766,1.303011205
845.144384,89.4463,2.4746,2.695079272,1.381509037
845.308426,89.094,2.4839,2.643265702,1.438020015
845.472468,82.0067,2.521,2.59340681,1.514799815
845.63651,76.9128,2.5587,2.545394033,1.600241875
845.800552,71.8188,2.5965,2.499126702,1.66619376
845.964594,66.9463,2.5907,2.47310049,1.448395172
846.128636,88.0872,2.5468,2.69497204,1.31590134
846.292678,93.8633,2.503,2.680825939,1.184712967
846.45672,98.7836,2.463,2.666825238,1.209637054
846.620762,105.2013,2.4474,2.653455022,1.242753622
846.784804,99.1611,2.4585,2.726782229,1.277735048
846.948846,90.1007,2.4731,2.801578648,1.314742283
847.112888,88.4396,2.4932,2.880594172,1.353957751
847.27693,87.0805,2.5151,2.931358227,1.395584542
847.440972,87.7852,2.5248,2.953969156,1.45034353
847.605014,86.6107,2.5353,2.979364287,1.431513446
847.769056,83.5235,2.5459,2.963893497,1.407835242
847.933098,80.0336,2.5473,2.946789471,1.38492697
848.09714,80.6376,2.5383,2.929884537,1.362752896
848.261182,81.3322,2.5292,2.913169671,1.341277101
848.425224,82.0268,2.5202,2.890606385,1.339857329
848.589266,82.7215,2.5111,2.872999742,1.362115275
848.753308,81.8456,2.5047,2.845555689,1.343577037
848.91735,79.0268,2.5203,2.818630987,1.319766712
849.081392,85.8221,2.4945,2.792211034,1.296786158
849.245434,94.1275,2.4422,2.766281767,1.274591676
849.409476,92.9195,2.4578,2.740829643,1.253144642
849.573518,91.7617,2.4667,2.732840534,1.224585689
849.73756,91.1074,2.4734,2.742625058,1.23001921
849.901602,93.4329,2.4682,2.753870057,1.238971468
850.065644,95.0537,2.445,2.762405815,1.248055503
850.229686,96.6745,2.4284,2.77240358,1.256296901
850.393728,98.1544,2.4109,2.78017203,1.303249102
850.55777,92.7013,2.4522,2.886306146,1.348859931
850.721812,87.6846,2.4957,2.97890713,1.397779101
850.885854,68.9597,2.5392,3.106552198,1.450380107
851.049896,70.4572,2.5984,3.133980662,1.507094123
851.213938,72.9174,2.588,3.174308825,1.568424799
851.37798,75.3775,2.5749,3.087876743,1.628897706
851.542022,77.8377,2.558,3.003136053,1.497294212
851.706064,80.2978,2.5411,2.949178819,1.393768967
851.870106,82.758,2.5241,2.926643695,1.346488947
852.034148,86.0738,2.5307,2.90996568,1.355770522
852.19819,84.0604,2.5247,2.890606385,1.388892009
852.362232,84.0604,2.5146,2.952618514,1.438986771
852.526274,84.0604,2.5047,3.031493421,1.492830399
852.690316,87.0805,2.5375,3.114698046,1.550860072
852.854358,80.2414,2.5697,3.174308825,1.593234765
853.0184,74.4155,2.588,3.20048375,1.522405992
853.182442,66.9463,2.5919,3.174308825,1.472650114
853.346484,72.2315,2.5568,3.095321173,1.426043591
853.510526,79.5931,2.532,2.986700854,1.382296582
853.674568,86.9547,2.5021,2.885448179,1.343257886
853.83861,92.1141,2.4721,2.790833013,1.263934129
854.002652,93.6443,2.4526,2.702228188,1.196793121
854.166694,94.8221,2.4365,2.653455022,1.161084876
854.330736,96.1409,2.4214,2.621198082,1.13325735
854.494778,97.1779,2.4191,2.598963912,1.114461529
854.65882,98.1544,2.4161,2.57710377,1.096279018
854.822862,97.4648,2.4132,2.555610439,1.079287975
854.986904,96.8758,2.4102,2.537785701,1.076932066
855.150946,96.1409,2.4072,2.537785701,1.074665984
855.314988,92.8926,2.422,2.537785701,1.07240904
855.47903,88.5738,2.4531,2.697719862,1.219455559
855.643072,84.255,2.4843,2.82454977,1.289694126
855.807114,79.9362,2.5154,2.979364287,1.342797487
855.971156,73.9933,2.5411,3.232470531,1.418458814
856.135198,72.5235,2.5552,3.519756368,1.503155691
856.29924,70.1678,2.5672,3.492308903,1.598609452
856.463282,67.953,2.5792,3.477705151,1.707008312
856.627324,72.9463,2.5932,3.357371626,1.881603377
856.791366,77.6577,2.5697,3.275760236,1.786010348
856.955408,82.3691,2.5413,3.1543553,1.653041315
857.11945,88.0872,2.5128,3.041630728,1.538498764
857.283492,86.0738,2.4943,3.087604607,1.45034353
857.447534,88.0872,2.5286,3.134992818,1.559768564
857.611576,74.1342,2.554,3.183854995,1.628897706
857.775618,65.9396,2.5828,3.174308825,1.564698543
857.93966,72.7852,2.5628,3.120706113,1.520894285
858.103702,77.7911,2.5399,3.037187515,1.479476583
858.267744,83.0537,2.5169,2.958019895,1.44025421
858.431786,84.1711,2.494,2.890606385,1.403057774
858.595828,85.349,2.463,2.902713297,1.36773426
858.75987,86.0738,2.4777,2.913754492,1.334146268
858.923912,81.1812,2.5001,3.000865311,1.289694126
859.087954,77.6477,2.5226,3.245083562,1.36147825
859.251996,74.1141,2.5411,3.230319113,1.526397158
859.416038,70.9732,2.5505,3.209306043,1.516852542
859.58008,70.9732,2.562,3.161379621,1.505671413
859.744122,70.9732,2.5496,3.113196463,1.494654649
859.908164,79.2282,2.5276,3.066463077,1.487398786
860.072206,86.0738,2.5047,3.086350899,1.602003083
860.236248,81.0403,2.5047,3.189145086,1.573426794
860.40029,77.2777,2.5264,3.319086274,1.526397158
860.564332,73.4497,2.5464,3.245083562,1.482097354
860.728374,69.6216,2.5724,3.168777871,1.440297086
860.892416,71.6074,2.4318,3.092033552,1.400789324
861.056458,78.0856,2.4451,3.018915669,1.363391115
861.2205,84.5638,2.463,2.949178819,1.327937889
861.384542,90.1007,2.481,2.862184052,1.294281764
861.548584,86.7282,2.4943,2.851249435,1.256296901
861.712626,87.0805,2.5047,2.834312575,1.287705372
861.876668,87.0805,2.5042,2.87888553,1.328873484
862.04071,83.2299,2.4786,2.928409515,1.372760213
862.204752,77.9295,2.5009,2.979670108,1.419644708
862.368794,72.6292,2.5294,3.032757264,1.469845691
862.532836,68.9597,2.5578,3.106552198,1.542575647
862.696878,74.8128,2.5776,3.08155807,1.506178099
862.86092,79.2886,2.5385,3.041630728,1.454692578
863.024962,83.7644,2.5086,2.988847619,1.406610563
863.189004,88.0872,2.4734,2.933059179,1.368519078
863.353046,86.8691,2.4858,2.8793125,1.301225022
863.517088,85.6913,2.4995,2.827500132,1.256296901
863.68113,85.344,2.4813,2.777519499,1.175147444
863.845172,86.0738,2.4645,2.72927515,1.112281258
864.009214,87.8658,2.4477,2.677865353,1.131785805
864.173256,90.1007,2.4266,2.684161774,1.158093835
864.337298,88.6148,2.4354,2.691236178,1.185654015
864.50134,87.2013,2.4474,2.698345583,1.214557921
864.665382,85.7879,2.4578,2.702728978,1.24490628
864.829424,84.0604,2.4578,2.736179423,1.276810145
864.993466,84.9765,2.4422,2.760834466,1.318912374
865.157508,86.0738,2.4682,2.785937871,1.293706594
865.32155,82.9279,2.4839,2.811499386,1.261742381
865.485592,81.0403,2.5099,2.834312575,1.231319593
865.649634,86.2424,2.5307,2.816760746,1.202329356
865.813676,90.0705,2.4995,2.806981263,1.174673266
865.977718,94.1275,2.4695,2.745040737,1.148260432
866.14176,92.4664,2.4526,2.701476153,1.116547692
866.305802,90.6997,2.4612,2.653455022,1.141685028
866.469844,88.9329,2.4682,2.721530542,1.177666945
866.633886,85.9379,2.4942,2.805250367,1.215991203
866.797928,81.8154,2.5257,2.894284455,1.2568937
866.96197,77.693,2.5571,2.989155389,1.300643666
867.126012,73.9933,2.5776,3.024562567,1.301981508
867.290054,79.6208,2.5486,2.989155389,1.256079976
867.454096,84.7248,2.5096,2.949178819,1.213304756
867.618138,95.1342,2.4707,2.829904799,1.173347421
867.78218,94.0604,2.4318,2.700222097,1.135937556
867.946222,92.4899,2.4258,2.605943314,1.108047304
868.110264,91.1074,2.4214,2.649591437,1.133857669
868.274306,85.6055,2.4289,2.702728978,1.156104407
868.438348,80.6916,2.437,2.776459397,1.179241595
868.60239,75.7777,2.4643,2.913754492,1.203323788
868.766432,70.8637,2.5063,3.073748695,1.229759165
868.930474,65.9498,2.5482,3.403696386,1.310480708
869.094516,61.0359,2.5901,3.746252705,1.388096933
869.258558,56.122,2.632,3.81321728,1.834177751
869.4226,51.2081,2.6922,3.871218357,2.10888423
869.586642,44.7987,2.6905,3.949577963,1.999008302
869.750684,44.7987,2.687,3.92826015,1.90001596
869.914726,48.8974,2.6559,3.896706468,1.810364278
870.078768,53.8591,2.6182,3.580368471,1.728792739
870.24281,58.8207,2.5806,3.300272752,1.654254279
870.406852,63.7824,2.5429,3.140063422,1.585877728
870.570894,68.744,2.5053,3.088424288,1.522930093
870.734936,75,2.4578,3.041630728,1.45034353
870.898978,63.0201,2.4985,3.197847855,1.532101705
871.06302,46.8121,2.5536,3.436646859,1.65859854
871.227062,44.8826,2.6088,3.71398863,1.807862364
871.391104,42.953,2.6639,3.949577963,1.986650013
871.555146,41.7785,2.6974,3.608778879,2.113899446
871.719188,55.3087,2.5502,3.377629523,1.806105503
871.88323,65.0336,2.4214,3.174308825,1.634997477
872.047272,74.7584,2.4307,2.979364287,1.493504091
872.211314,84.0604,2.4427,2.834312575,1.374550566
872.375356,86.0738,2.4547,2.834312575,1.289694126
872.539398,77.9195,2.4667,2.834312575,1.305309115
872.70344,73.9933,2.4839,2.834312575,1.312963404
872.867482,76.7617,2.4757,2.789497197,1.258632931
873.031524,79.0268,2.437,2.759090064,1.223350545
873.195566,80.9396,2.4444,2.729338693,1.189992314
873.359608,83.255,2.4526,2.700222097,1.161084876
873.52365,85.0671,2.4578,2.677865353,1.24487984
873.687692,81.9664,2.4928,2.702728978,1.301225022
873.851734,79.4195,2.5216,2.835348746,1.408584743
874.015776,76.8725,2.5503,2.942471118,1.500432656
874.179818,73.9933,2.5828,3.073748695,1.619833341
874.34386,75,2.5785,3.174308825,1.584561907
874.507902,76.1577,2.5735,3.298401338,1.550793791
874.671944,77.3154,2.5685,3.396546735,1.586505078
874.835986,78.0201,2.5635,3.435295068,1.619495099
875.000028,82.8523,2.5568,3.477705151,1.66619376
875.16407,86.3255,2.5384,3.373584547,1.618931676
875.328112,89.7987,2.5101,3.225505946,1.55145528
875.492154,93.2718,2.4819,3.089880138,1.489377873
875.656196,96.1409,2.4536,2.965202552,1.432077072
875.820238,96.1409,2.4254,2.850193615,1.394748599
875.98428,96.1409,2.3849,2.743775556,1.151895621
876.148322,93.9262,2.3917,2.645015865,1.07035848
876.312364,92.1141,2.4057,2.537785701,1.011762369
876.476406,92.4329,2.4169,2.545691661,1.017924523
876.640448,92.8188,2.4303,2.555329768,1.025485365
876.80449,93.2047,2.4438,2.565041133,1.033159017
876.968532,93.5906,2.4526,2.574824419,1.040948733
877.132574,94.1275,2.4538,2.584684811,1.051984137
877.296616,92.7181,2.4546,2.594621015,1.050986974
877.460658,90.1007,2.4555,2.605943314,1.049352951
877.6247,90.6759,2.4563,2.600125658,1.047724363
877.788742,91.3375,2.4572,2.593464183,1.046100462
877.952784,91.999,2.4578,2.586838949,1.044481588
878.116826,92.6606,2.4654,2.582820938,1.042868073
878.280868,93.3221,2.4714,2.595102597,1.040700651
878.44491,94.1275,2.4773,2.605943314,1.06109177
878.608952,94.1275,2.4833,2.64141484,1.093957965
878.772994,94.1275,2.4891,2.688169586,1.128925229
878.937036,92.9195,2.4873,2.728061083,1.166201692
879.101078,91.7617,2.4856,2.745428926,1.206024386
879.26512,91.1074,2.4839,2.753870057,1.229759165
879.429162,91.6611,2.4821,2.711541044,1.172543968
879.593204,92.047,2.4804,2.682800942,1.135715766
879.757246,92.4329,2.4786,2.653455022,1.101130972
879.921288,92.8188,2.4786,2.649027258,1.071343426
880.08533,93.1208,2.4786,2.64441463,1.094849574
880.249372,94.5302,2.4665,2.639818038,1.117404828
880.413414,96.1409,2.4526,2.635237398,1.12235963
880.577456,94.7315,2.4599,2.6294857,1.103845061
880.741498,92.1141,2.4719,2.670495928,1.121927087
880.90554,87.0805,2.4839,2.728061083,1.147354892
881.069582,88.2383,2.4779,2.78017203,1.17396249
881.233624,89.094,2.4719,2.801037985,1.201832993
881.397666,92.1141,2.4682,2.819762672,1.231059496
881.561708,90.0503,2.4988,2.838736746,1.261742381
881.72575,88.0243,2.5255,2.862184052,1.293994389
881.889792,85.9983,2.5011,2.862184052,1.330974101
882.053834,84.0604,2.47,2.862184052,1.297165855
882.217876,86.0738,2.4389,2.845396304,1.262055321
882.381918,88.0034,2.4077,2.834312575,1.228794883
882.54596,89.094,2.3901,2.728061083,1.197243003
882.710002,90.2013,2.4331,2.72529256,1.167270881
882.874044,91.1074,2.4682,2.720410759,1.133946253
883.038086,93.4983,2.4699,2.715546417,1.14545252
883.202128,96.1409,2.4719,2.710699439,1.159697285
883.36617,96.7701,2.4734,2.705869733,1.174300805
883.530212,97.1477,2.4839,2.702728978,1.189276805
883.694254,83.6242,2.5242,2.856915134,1.204639722
883.858296,70.9732,2.5542,2.983181338,1.224585689
884.022338,72.6846,2.588,3.140063422,1.240238373
884.18638,75,2.5637,3.162809902,1.340165438
884.350422,77.3154,2.5358,3.189378681,1.457606695
884.514464,79.0268,2.5151,3.209306043,1.459506546
884.678506,80.4866,2.5099,3.192294821,1.461191371
884.842548,82.047,2.5255,3.178930514,1.462880792
885.00659,86.0738,2.5143,3.165677637,1.464942269
885.170632,92.2483,2.4971,3.152534804,1.567495603
885.334674,98.1544,2.4799,3.140063422,1.530712124
885.498716,98.7584,2.4626,3.080253234,1.492356034
885.662758,99.1611,2.4454,3.041630728,1.455875184
885.8268,96.3567,2.4282,2.926938787,1.436033561
885.990842,94.2066,2.4057,2.844700534,1.338009887
886.154884,92.0566,2.4057,2.753870057,1.267235274
886.318926,89.9065,2.4123,2.753870057,1.249153667
886.482968,87.7565,2.4203,2.753870057,1.229759165
886.64701,86.0738,2.4266,2.753870057,1.229759165
886.811052,86.0738,2.4318,2.753870057,1.229759165
886.975094,89.8188,2.4197,2.739615126,1.19582587
887.139136,92.5973,2.4107,2.710280038,1.165734704
887.303178,95.3758,2.4005,2.677865353,1.173725606
887.46722,98.1544,2.4057,2.694390754,1.184712967
887.631262,94.2953,2.4117,2.713648551,1.195907979
887.795304,90.4362,2.4177,2.728061083,1.204319391
887.959346,88.0872,2.4237,2.830638038,1.323410031
888.123388,71.9799,2.4259,2.949178819,1.502756979
888.28743,72.2315,2.4247,3.010177028,1.504699175
888.451472,72.6174,2.4235,3.031336645,1.50768678
888.615514,72.9866,2.4223,3.058809736,1.510555254
888.779556,70.5705,2.4214,3.086785361,1.571727824
888.943598,68.9597,2.4129,3.106552198,1.635188694
889.10764,58.3893,2.4057,3.196090768,1.703989842
889.271682,50.2852,2.3985,3.268310153,1.77883392
889.435724,40.7718,2.3901,3.357371626,1.86055591
889.599766,46.7833,2.3901,3.339077287,1.95014831
889.763808,54.0604,2.3901,3.319086274,2.039831528
889.92785,61.3375,2.3999,3.236063747,1.842886598
890.091892,68.6146,2.4089,3.163269441,1.692545305
890.255934,75.8917,2.4214,3.093674919,1.56488331
890.419976,85.0671,2.4232,3.010177028,1.42898395
890.584018,84.6393,2.4266,3.023464488,1.446080781
890.74806,84.0604,2.4182,3.041630728,1.469874044
890.912102,80.5872,2.4086,3.060016588,1.494462644
891.076144,77.1141,2.3991,3.078626075,1.519888652
891.240186,73.6409,2.3895,3.097463294,1.546194805
891.404228,72.8859,2.388,3.099936234,1.53931226
891.56827,75,2.394,3.087332519,1.502756979
891.732312,75.3624,2.4005,3.074830877,1.467896931
891.896354,75.8255,2.406,3.062430073,1.434618215
892.060396,76.2886,2.4109,3.050128892,1.402814328
892.224438,76.7517,2.4067,3.041630728,1.381509037
892.38848,77.2148,2.4031,3.010177028,1.439584855
892.552522,77.6779,2.3995,2.984384757,1.502756979
892.716564,78.1409,2.3953,2.939817556,1.47235205
892.880606,78.604,2.4019,2.896564608,1.430740024
893.044648,79.0268,2.4099,2.854563277,1.391414816
893.20869,82.802,2.4161,2.813765204,1.35419416
893.372732,86.2752,2.4176,2.77411689,1.318912374
